ID,Tournament,Date,Home Team,Home Goals,Away Goals,Away Team,Win Conditions,Home Stadium
4253,Brazil Independence Cup,1972-06-22,Argentina,4,1,Colombia,,0
4254,Brazil Independence Cup,1972-06-25,Argentina,0,0,France,,0
4255,Brazil Independence Cup,1972-06-25,Chile,2,1,Iran,,0
4256,Brazil Independence Cup,1972-06-25,Republic of Ireland,1,2,Portugal,,0
4257,Brazil Independence Cup,1972-06-28,Brazil,0,0,Czechoslovakia,,1
4258,Brazil Independence Cup,1972-06-29,Argentina,1,3,Portugal,,0
4259,Nordic Championship,1972-06-29,Sweden,2,0,Denmark,,1
4260,Brazil Independence Cup,1972-06-29,Uruguay,0,1,Russia,,0
4261,Brazil Independence Cup,1972-02-07,Argentina,1,0,Russia,,0
4262,Brazil Independence Cup,1972-02-07,Brazil,3,0,Yugoslavia,,1
4263,FIFA World Cup qualification,1972-02-07,Ghana,5,1,Benin,,1
4264,Brazil Independence Cup,1972-02-07,Portugal,1,1,Uruguay,,0
4265,Friendly,1972-03-07,Iceland,2,5,Denmark,,1
4266,Brazil Independence Cup,1972-05-07,Brazil,1,0,Scotland,,1
4267,Brazil Independence Cup,1972-06-07,Argentina,1,0,Uruguay,,0
4268,Brazil Independence Cup,1972-06-07,Portugal,1,0,Russia,,0
4269,Brazil Independence Cup,1972-09-07,Argentina,2,4,Yugoslavia,,0
4270,Brazil Independence Cup,1972-09-07,Brazil,1,0,Portugal,,1
4271,Merdeka Tournament,1972-12-07,Japan,4,1,Cambodia,,0
4272,Merdeka Tournament,1972-07-15,Hong Kong,0,0,South Korea,,0
